"asc","asc_loc","b_price_mu","b_risk2_mu","b_risk3_mu","b_duration2_mu","b_duration3_mu","b_efficacy2_mu","b_efficacy3_mu","b_oral_mu","b_dose2_mu","b_dose3_mu","b_imported_mu","b_price_sigma","b_risk2_sigma","b_risk3_sigma","b_duration2_sigma","b_duration3_sigma","b_efficacy2_sigma","b_efficacy3_sigma","b_oral_sigma","b_dose2_sigma","b_dose3_sigma","b_imported_sigma","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12062.7629295758
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12062.7629295758
1.0760192e-05,6.60684800000001e-06,0.00224269653333334,2.24733866666667e-06,3.198976e-06,3.362816e-06,7.43424000000001e-06,2.592768e-06,7.46427733333334e-06,6.29145600000001e-06,2.46033066666667e-06,4.063232e-06,3.702784e-06,-4.28902533002923e-07,2.98492045487199e-10,-1.35835410020159e-09,-9.61492060594021e-10,8.0709770101912e-10,-6.6032817076666e-10,-4.72375658814814e-10,8.70638612586234e-10,1.08620751146958e-09,2.52473981889593e-09,4.55997170588368e-10,-11946.8372298044
0.577025998933395,0.388080716145467,-0.000181096494838189,0.1055814757736,0.145034646640022,0.184478834536794,0.50573140348867,0.121851285760501,0.493282271417141,0.364951389190147,0.0982464585363217,0.22370985877786,0.130752220865156,-0.078575579282179,2.05313037399456e-05,-0.000100195025867115,-6.05388245304114e-05,5.92303981733793e-05,-5.6475141633041e-05,-3.00300086346273e-05,5.276557021075e-05,8.00099577668672e-05,0.000172525232553189,4.76361159382236e-05,-11472.7792100539
0.779324073393986,0.519614487778851,-0.00104855718681932,0.139639222193291,0.192870983159974,0.249616273997746,0.684380953884161,0.164174351191246,0.66694291782296,0.489786407602384,0.129752372379612,0.299753066008641,0.170146674327062,0.0258762728223828,2.47735782240822e-05,-0.000219383475194429,-0.00014290313523297,-8.80038937819917e-05,-3.9647893637595e-05,4.76985767828846e-05,0.000121391723592651,6.59811973101868e-05,0.000314375652926655,6.85880002241042e-05,-10477.56630163
1.2994446801177,0.125498882138436,-0.000668462409039884,-0.217169100225135,-0.163423745166656,0.491578171878872,1.32954367532681,0.231663271537125,1.20441241376035,0.312329240251982,-0.222754571977087,0.109594048149302,-0.703746843308447,0.0244266909334699,-9.45038158863376e-05,-0.0129468066211401,-0.00909979520029921,-0.0202434773760303,0.00704018385788283,0.00582567950992714,0.00677219032023441,-0.0027588969259595,0.00697242958768961,0.000259830986746667,-9960.47614626894
1.86130405544479,0.377977501687563,-0.000835398073871017,-0.392899817249161,-0.610956489720427,0.721167689909163,1.58918984128797,0.822312079155397,1.0211633995792,-0.0713184749423301,-0.430960220318543,-0.225212603573383,-1.08913585213465,0.0245405366829796,-0.0022664981049317,-0.0406661549006795,-0.026192690058734,-0.0833205015674771,0.018245183249813,0.024370118160278,0.0230790087032172,-0.00927579819129308,0.0191038920044149,0.00859639125472833,-9742.90001001117
2.02647675930977,0.334327225562049,-0.000963855582560912,-0.524712703744125,-0.540657353548686,0.704944799855778,1.60176022967627,0.82321180679372,0.994224488426119,-0.176304280866632,-0.47848563463837,-0.295450821555438,-1.00414856383959,0.0244797279091007,-0.00581763330668054,-0.0814600725407874,-0.0490631840493277,-0.208501422885328,0.0318561765104748,0.054995448851699,0.0495882892616934,-0.016807131285177,0.0373165423531743,0.0354500346594801,-9700.00626138103
2.70283410960869,0.209919641866446,-0.00144724937560733,-0.828705008497052,-0.454409731013866,0.715728781365486,1.48661655701494,0.719415402676026,0.927625096580308,-0.533830367365437,-0.677027511753697,-0.439028958052552,-0.787321548366042,0.023876440345427,-0.0329570675532598,-0.31345740687823,-0.183768058193106,-1.10313413774074,0.116912309505078,0.267270015869868,0.227897527958447,-0.0584828214079138,0.146213096036418,0.271157321187543,-9555.20124472973
2.9884543845397,0.208213686795635,-0.00159074527413495,-1.00674459109556,-0.406292402867495,0.576758818629044,1.49700289088858,0.667349842064081,0.850941958474768,-0.650805393939266,-0.750070244634533,-0.496592317096743,-0.749801090848694,0.023147431862462,-0.0836053570189544,-0.48094365116209,-0.304249920226774,-1.39175064910132,0.19068111646356,0.520836186840847,0.380828102616634,-0.0836184130253527,0.257009555136674,0.647206206502626,-9449.74835636304
3.23564396280561,0.161709450509649,-0.00176372412974416,-1.11397039731126,-0.384258972335743,0.558913495235918,1.44914189037407,0.628251555473794,0.826246991843201,-0.764527019619858,-0.801768409135144,-0.549208816852939,-0.680324986222693,0.0227730421847594,-0.149925403503003,-0.597964730249104,-0.392708930070022,-1.54628019913293,0.243086913243962,0.745120148974351,0.503889099601049,-0.0980795919233376,0.362092279221825,0.974262400701626,-9387.81133163351
3.64010302261777,0.200994055991991,-0.00195005929210944,-1.32040020559712,-0.401626213722875,0.403228653187894,1.25935133354808,0.500580290296162,0.751453838873889,-0.791965787345043,-1.04149997763646,-0.494667890640044,-0.666239255954751,0.0208614392980508,-0.681362563018141,-0.778128026829344,-0.560683860498132,-1.62314746936155,0.321142951878048,1.18329228795928,0.881411831758945,-0.0374348991659614,0.861252783307695,0.89656805652303,-9312.47412456493
3.88360621434011,0.212500769837363,-0.00208086885105191,-1.44189743644891,-0.393080237683125,0.32781753532598,1.17104976435284,0.403024664669312,0.702752888302603,-0.767365591933269,-0.995692352700508,-0.633111591442676,-0.693366724859251,0.0196661461524015,-1.23006848333356,-0.90145600208097,-0.720690369186851,-1.73114510630762,0.376995835534548,1.40670291526286,1.12216765473086,0.0178449482405272,1.13103486011932,0.86024887732809,-9257.37984235253
