ID,choice,weight,price.1,price.2,risk2.1,risk3.1,risk2.2,risk3.2,duration2.1,duration3.1,duration2.2,duration3.2,efficacy2.1,efficacy3.1,efficacy2.2,efficacy3.2,admin.1,admin.2,doses2.1,doses3.1,doses2.2,doses3.2,origin.1,origin.2
1,2,6.30E-05,0,400,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
1,3,6.30E-05,200,200,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
1,1,6.30E-05,0,400,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
1,2,6.30E-05,0,200,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
1,3,6.30E-05,600,600,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
1,1,6.30E-05,0,600,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1
1,3,6.30E-05,0,400,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0
1,3,6.30E-05,200,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
1,3,6.30E-05,600,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
1,3,6.30E-05,600,200,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,2,6.30E-05,200,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1
1,3,6.30E-05,400,600,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
2,2,6.93E-05,0,400,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
2,2,6.93E-05,200,200,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
2,1,6.93E-05,0,400,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
2,2,6.93E-05,0,200,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
2,1,6.93E-05,600,600,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
2,2,6.93E-05,0,600,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1
2,2,6.93E-05,0,400,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0
2,2,6.93E-05,200,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
2,2,6.93E-05,600,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2,1,6.93E-05,600,200,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2,1,6.93E-05,200,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1
2,1,6.93E-05,400,600,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
3,1,6.21E-05,0,400,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
3,2,6.21E-05,200,200,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
3,1,6.21E-05,0,400,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
3,2,6.21E-05,0,200,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
3,1,6.21E-05,600,600,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
3,1,6.21E-05,0,600,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1
3,2,6.21E-05,0,400,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0
3,2,6.21E-05,200,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
3,2,6.21E-05,600,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
3,2,6.21E-05,600,200,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
3,2,6.21E-05,200,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1
