"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"b_Hebei1",-0.0819261561625394,-0.437214143189279,0.2733618308642,"0.325652593036402",-36.0075113001861,"0.652065412881285"
"b_Shanxi2",0.239935926499355,-0.127279880255642,0.607151733254353,"0.100162691951356",105.45466783045,"0.20632863469919"
"b_Liaoning3",-0.458627540542603,-0.760664277232407,-0.156590803852798,"0.0014596678360842",-201.572209928913,"0.00496749189950397"
"b_Jilin4",0.467441790007415,0.0742351576945286,0.860648422320302,"0.00990323551482286",205.446176462596,"0.0236882365777236"
"b_Heilongjiang5",0.238005938354409,-0.17338658665996,0.649398463368779,"0.128415656819058",104.606415291902,"0.261185367855507"
"b_Jiangsu6",-0.294448590018258,-0.62811240576535,0.0392152257288348,"0.0418498928091579",-129.413625989867,"0.0895533457632738"
"b_Zhejiang7",0.14053383129543,-0.19617400722692,0.477241669817779,"0.206666522727543",61.7662753320097,"0.414722802505778"
"b_Anhui8",0.0873527155894778,-0.221475134742269,0.396180565921225,"0.289659191692001",38.39254813139,"0.579771465590196"
"b_Fujian9",-0.0430838748894217,-0.436432771050856,0.350265021272012,"0.415009694757536",-18.9358708451893,"0.830038513963493"
"b_Jiangxi10",0.258125523185336,-0.100050862277851,0.616301908648523,"0.0789044412698312",113.449209975414,"0.163072620611457"
"b_Shandong11",-0.256059340650565,-0.586180159858258,0.0740614785571271,"0.0642237312894195",-112.541098397209,"0.133268143686445"
"b_Henan12",0.182834920803696,-0.176122245546032,0.541792087153424,"0.159064981629961",80.3581027754598,"0.320551120824498"
"b_Hubei13",-0.0535845868173382,-0.418035221841565,0.310866048206889,"0.386608179005175",-23.5510575098035,"0.773222243838177"
"b_Hunan14",0.138669279667764,-0.239844788760799,0.517183348096328,"0.236367490980901",60.9467829141092,"0.472741148824249"
"b_Guangdong15",-0.0233998758133304,-0.36974392803251,0.322944176405849,"0.447326008805063",-10.2845212351939,"0.894673178363682"
"b_Hainan16",-0.161723512032364,-0.573462148631008,0.25001512456628,"0.220697846026928",-71.0793897794732,"0.443103273966921"
"b_Sichuan17",0.142390402146957,-0.212781356199753,0.497562160493667,"0.216003805611663",62.5822601047279,"0.433132411992268"
"b_Guizhou18",0.158513018976333,-0.185954319192079,0.502980357144746,"0.183551359059119",69.6683402391428,"0.369523524241891"
"b_Yunnan19",0.00390997645465377,-0.351105997539369,0.358925950448677,"0.491389057720806",1.71848073886302,"0.982778553733574"
"b_Shaanxi20",0.115858262953149,-0.236954585788138,0.468671111694436,"0.25991037178564",50.9210721937055,"0.519642551100806"
"b_Gansu21",-0.0787743299654862,-0.435485602734282,0.27793694280331,"0.332569638081905",-34.6222465358848,"0.665239691047804"
"b_Qinghai22",-0.211311018281336,-0.57026167415619,0.147639637593518,"0.124288391783853",-92.8736832657376,"0.251578973962996"
"b_Neimongol23",0.338758110374769,-0.0707589578220365,0.748275178571574,"0.0524756961832964",148.888182464572,"0.110234938097983"
"b_Guangxi24",0.192475946641001,-0.151965137778095,0.536917031060098,"0.136705581257454",84.5954472700976,"0.277225069281002"
"b_Tibet25",0.213074104837783,-0.154086236511971,0.580234446187536,"0.127680205257915",93.648580588865,"0.260565246224068"
"b_Ningxia26",0.17652129463586,-0.233233778627223,0.586276367898943,"0.199237823988938",77.5831896557417,"0.400450879818427"
"b_Xinjiang27",0.185532840202693,-0.174984518029007,0.546050198434393,"0.156570027637023",81.5438701517988,"0.316192099347295"
"b_Beijing28",-0.423596103436939,-0.715939632165602,-0.131252574708277,"0.00225622133284087",-186.175480404079,"0.0064137907072394"
"b_Shanghai29",-0.788094453674813,-1.07845351843662,-0.497735388913007,"<0.001",-346.376801689682,"<0.001"
"b_Tianjin30",-0.118682889134502,-0.481035568805915,0.243669790536911,"0.260451134644155",-52.1625286943873,"0.521726139697986"
"b_Chongqing31",-0.286621611206589,-0.64966807987067,0.0764248574574929,"0.121775703644802",-125.973576545238,"0.126845123975143"
