"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"b_Hebei1",-0.080339595663101,-0.434222568142078,0.273543376815876,"0.328175406175984",-35.0312102518196,"0.657122067007857"
"b_Shanxi2",0.235016689350103,-0.129276023609247,0.599309402309452,"0.103037071764287",102.476481109443,"0.212021068899795"
"b_Liaoning3",-0.46437036962615,-0.766337540164403,-0.162403199087896,"0.00128885554512381",-202.483668467855,"0.00437801639150927"
"b_Jilin4",0.465412550393358,0.0742414223687641,0.856583678417952,"0.00985163899673014",202.938100099918,"0.0234321877082226"
"b_Heilongjiang5",0.244969603515,-0.164568008820067,0.654507215850067,"0.120523294497435",106.816341496479,"0.245501650814003"
"b_Jiangsu6",-0.293571963693349,-0.626523601495329,0.0393796741086317,"0.0419806399393216",-128.008874071352,"0.0897573127341155"
"b_Zhejiang7",0.143132924825945,-0.191903050889013,0.478168900540903,"0.201203798499262",62.4115611007301,"0.403840297651507"
"b_Anhui8",0.0909876745201916,-0.218860242700722,0.400835591741105,"0.282460133083708",39.674189671145,"0.565317048695411"
"b_Fujian9",-0.0486817011660651,-0.4420699699784,0.344706567646269,"0.404178923316005",-21.2271283529491,"0.808396119269761"
"b_Jiangxi10",0.254855036123868,-0.102246982785746,0.611957055033483,"0.0809396801543263",111.126777282136,"0.167006418406578"
"b_Shandong11",-0.25513448476414,-0.584397578974015,0.0741286094457352,"0.0644180419311017",-111.248627834048,"0.133888627320659"
"b_Henan12",0.183642132032962,-0.174234101823344,0.541518365889267,"0.157269305377857",80.0751620074906,"0.316744179880714"
"b_Hubei13",-0.0555545701629209,-0.420339235667028,0.309230095341186,"0.38266420420184",-24.2239684151234,"0.765328900883439"
"b_Hunan14",0.140936896913456,-0.236287283087657,0.518161076914568,"0.232000848341092",61.4540069222912,"0.463852652482904"
"b_Guangdong15",-0.0208731617737601,-0.366010040809816,0.324263717262296,"0.452822059782088",-9.10151604176756,"0.905658554186718"
"b_Hainan16",-0.161645939807827,-0.573754724666986,0.250462845051332,"0.221012517531031",-70.4839607048427,"0.443614179267169"
"b_Sichuan17",0.141206868638413,-0.214805700970352,0.497219438247179,"0.218464549577523",61.5717251679581,"0.438001878192508"
"b_Guizhou18",0.156854745149134,-0.186539894077305,0.500249384375573,"0.185322372789238",68.3948121839826,"0.372939803189116"
"b_Yunnan19",0.00567471603814432,-0.349928050186696,0.361277482262985,"0.487524258820043",2.47439844588251,"0.975049216425121"
"b_Shaanxi20",0.11578591685635,-0.236205949837519,0.467777783550218,"0.259554298327112",50.4871945659719,"0.51886932051989"
"b_Gansu21",-0.0790412357859879,-0.433981741739752,0.275899270167777,"0.331250851131254",-34.4650744944478,"0.66263736648542"
"b_Qinghai22",-0.21380828865095,-0.571954437381338,0.144337860079438,"0.120986129776763",-93.2287877663941,"0.245130794018925"
"b_Neimongol23",0.337100597885827,-0.0696830633558662,0.743884259127519,"0.0521647275460911",146.989063401227,"0.109840530896552"
"b_Guangxi24",0.187360944546807,-0.155779284250635,0.530501173344249,"0.142269873152472",81.6967099127838,"0.288112508289435"
"b_Tibet25",0.209891925973778,-0.155079582639786,0.574863434587343,"0.129837807600933",91.5211002527341,"0.264859292154429"
"b_Ningxia26",0.181173194082457,-0.22852638589795,0.590872774062863,"0.193048982697935",78.9986083638112,"0.388189063901598"
"b_Xinjiang27",0.185656112478828,-0.175212933850234,0.546525158807891,"0.156645234381031",80.9533363604966,"0.316227360032647"
"b_Beijing28",-0.422262516082622,-0.714602086925618,-0.129922945239626,"0.00231998721492843",-184.122995146547,"0.00648854620210243"
"b_Shanghai29",-0.784028009860501,-1.0747196237906,-0.4933363959304,"<0.001",-341.866919170387,"<0.001"
"b_Tianjin30",-0.115870738281374,-0.478766892567575,0.247025416004828,"0.265721203545185",-50.5241800293582,"0.532140240124698"
"b_Chongqing31",-0.284475954005874,-0.648703273606591,0.0797513655948415,"0.125818689055778",-124.042657597589,"0.130324153821485"
